Price,Adj Close,Close,High,Low,Open,Volume
2018-10-21,0.08862499893,0.08862499893,0.09010799974,0.08817200363,0.08896200359,612284
2018-10-22,0.08882600069,0.08882600069,0.08901099861,0.08718699962,0.08857800066,587273
2018-10-23,0.0905129984,0.0905129984,0.0905129984,0.0867960006,0.08861099929,993897
2018-10-24,0.08868499845,0.08868499845,0.09043300152,0.08817499876,0.09029900283,693581
2018-10-25,0.08707900345,0.08707900345,0.08845499903,0.08611200005,0.08845499903,740259
2018-10-26,0.0876429975,0.0876429975,0.08781799674,0.08622200042,0.08704700321,389251
2018-10-27,0.08879400045,0.08879400045,0.09059099853,0.08728399873,0.08746500313,904007
2018-10-28,0.09395799786,0.09395799786,0.09714099765,0.08872999996,0.08930400014,2394780
2018-10-29,0.08843100071,0.08843100071,0.09447299689,0.08671899885,0.09348399937,1748820
2018-10-30,0.0889659971,0.0889659971,0.09054599702,0.0870269984,0.08843199909,835921
2018-10-31,0.08897099644,0.08897099644,0.09026300162,0.08690100163,0.08923199773,770735
2018-11-01,0.09380400181,0.09380400181,0.09557999671,0.08896099776,0.08915700018,2391700
2018-11-02,0.09290699661,0.09290699661,0.09421599656,0.09177000076,0.09373699874,1287050
2018-11-03,0.09139700234,0.09139700234,0.09340900183,0.09061300009,0.09282500297,524493
2018-11-04,0.09138000011,0.09138000011,0.09155199677,0.09004300088,0.09132300317,621714
2018-11-05,0.09311799705,0.09311799705,0.09381300211,0.09099599719,0.09113500267,816149
2018-11-06,0.09201099724,0.09201099724,0.09352900088,0.08991999924,0.09329299629,1093900
2018-11-07,0.09264300019,0.09264300019,0.09270399809,0.09043499827,0.09206499904,861153
2018-11-08,0.09091500193,0.09091500193,0.09349100292,0.08980400115,0.09266799688,1076670
2018-11-09,0.08866299689,0.08866299689,0.09130100161,0.08849299699,0.0908979997,613728
2018-11-10,0.08895800263,0.08895800263,0.08959700167,0.08761899918,0.08871100098,447014
2018-11-11,0.0868569985,0.0868569985,0.08913099766,0.08556000143,0.08892899752,628669
2018-11-12,0.08896400034,0.08896400034,0.09164199978,0.08643600345,0.0871900022,1454600
2018-11-13,0.08618199825,0.08618199825,0.08951699734,0.08582100272,0.08869300038,837189
